Sample	sample_type	location	date	depth	fraction	ITW	sample_abb	heatwave	NO2	NO3	PO4	SiO4	Chl_a	Chl_F	Temperature	Salinity	Sigma-t
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numerical	numerical	numerical	numerical	numerical	numerical	numerical	numerical	numerical
W1	water_column	Lastovo_Island	13072022	DCM	MICRO	yes	130722_M_DCM	no	0.137	1.028	0.024	1.303	1.49	0.28	15.32	38.99	28.98
W2	water_column	Lastovo_Island	13072022	DCM	PICO	yes	130722_P_DCM	no	0.137	1.028	0.024	1.303	1.49	0.28	15.32	38.99	28.98
W3	water_column	Lastovo_Island	13072022	DCM	NANO	yes	130722_N_DCM	no	0.137	1.028	0.024	1.303	1.49	0.28	15.32	38.99	28.98
W4	water_column	Lastovo_Island	13072022	SURFACE	MICRO	yes	130722_M_S	no	0.037	0.215	0.072	0.616	0.45	0.01	23.44	38.9	26.76
W5	water_column	Lastovo_Island	13072022	SURFACE	NANO	yes	130722_N_S	no	0.037	0.215	0.072	0.616	0.45	0.01	23.44	38.9	26.76
W6	water_column	Lastovo_Island	13072022	SURFACE	PICO	yes	130722_P_S	no	0.037	0.215	0.072	0.616	0.45	0.01	23.44	38.9	26.76
W7	water_column	Lastovo_Island	17072022	SURFACE	MICRO	yes	170722_M_S	no	0.013	0.203	0.024	0.425	0.03	-0.02	24.23	39.13	26.7
W8	water_column	Lastovo_Island	17072022	DCM	MICRO	yes	170722_M_DCM	no	0.107	1.793	0.03	1.325	0.33	0.5	15.54	38.99	28.93
W9	water_column	Lastovo_Island	17072022	DCM	NANO	yes	170722_N_DCM	no	0.107	1.793	0.03	1.325	0.33	0.5	15.54	38.99	28.93
W10	water_column	Lastovo_Island	17072022	SURFACE	NANO	yes	170722_N_S	no	0.013	0.203	0.024	0.425	0.03	-0.02	24.23	39.13	26.7
W11	water_column	Lastovo_Island	17072022	DCM	PICO	yes	170722_P_DCM	no	0.107	1.793	0.03	1.325	0.33	0.5	15.54	38.99	28.93
W12	water_column	Lastovo_Island	17072022	SURFACE	PICO	yes	170722_P_S	no	0.013	0.203	0.024	0.425	0.03	-0.02	24.23	39.13	26.7
W13	water_column	Lastovo_Island	20072022	SURFACE	MICRO	yes	200722_M_S	yes	0.009	0.253	0.023	0.428	0.1	0.03	24.03	39.05	26.62
W14	water_column	Lastovo_Island	20072022	DCM	MICRO	yes	200722_M_DCM	yes	0.075	0.662	0.019	1.139	0.99	0.52	15.71	38.97	28.87
W15	water_column	Lastovo_Island	20072022	DCM	NANO	yes	200722_N_DCM	yes	0.075	0.662	0.019	1.139	0.99	0.52	15.71	38.97	28.87
W16	water_column	Lastovo_Island	22072022	SURFACE	PICO	no	220722_P_S	yes	0.014	0.221	0.032	0.455	0.06	0.01	25	39.03	26.39
W17	water_column	Lastovo_Island	22072022	DCM	PICO	no	220722_P_DCM	yes	0.113	1.204	0.023	1.346	0.16	0.62	15.42	39.01	28.97
W18	water_column	Lastovo_Island	22072022	SURFACE	MICRO	no	220722_M_S	yes	0.014	0.221	0.032	0.455	0.06	0.01	25	39.03	26.39
W19	water_column	Lastovo_Island	22072022	DCM	MICRO	no	220722_M_DCM	yes	0.113	1.204	0.023	1.346	0.16	0.62	15.42	39.01	28.97
W20	water_column	Lastovo_Island	22072022	DCM	NANO	no	220722_N_DCM	yes	0.113	1.204	0.023	1.346	0.16	0.62	15.42	39.01	28.97
W21	water_column	Lastovo_Island	22072022	SURFACE	NANO	no	220722_N_S	yes	0.014	0.221	0.032	0.455	0.06	0.01	25	39.03	26.39
W22	water_column	Lastovo_Island	20072022	SURFACE	PICO	yes	200722_P_S	yes	0.009	0.253	0.023	0.428	0.1	0.03	24.03	39.05	26.62
W23	water_column	Lastovo_Island	20072022	DCM	PICO	yes	200722_P_DCM	yes	0.075	0.662	0.019	1.139	0.99	0.52	15.71	38.97	28.87
W24	water_column	Lastovo_Island	20072022	SURFACE	NANO	yes	200722_N_S	yes	0.009	0.253	0.023	0.428	0.1	0.03	24.03	39.05	26.62
